This is grade of class7
         StdID  Mark
0    N00001942    81
1    N00001943    81
2    N00001944    73
3    N00001945    73
4    N00001946    62
5    N00001947    79
6    N00001948    68
7    N00001950    77
8    N00001951    71
9    N00001952    76
10   N00001953   100
11   N00001954    67
12   N00001955    68
13   N00001956    76
14   N00001957    74
15   N00001958    82
16   N00001959    76
17   N00001960    77
18   N00001961    68
19   N00001962    50
20   N00001963    82
21   N00001964    59
22   N00001965    69
23   N00001967    67
24   N00001968    71
25   N00001969    82
26   N00001970    82
27   N00001971    60
28   N00001972    63
29   N00001973    75
30   N00001975    87
31   N00001976    68
32   N00001977    75
33   N00001978    72
34   N00001979    83
35   N00001981    72
36   N00001982    83
37   N00001983    82
38   N00001984    64
39   N00001985    82
40   N00001986    81
41   N00001987    77
42   N00001988    71
43   N00001989    68
44   N00001990    83
45   N00001991    73
46   N00001992    50
47   N00001993    66
48   N00001994    67
49   N00001995    73
50   N00001996    54
51   N00001997    91
52   N00001998    52
53   N00002000    77
54   N00002001    75
55   N00002002    72
56   N00002003    63
57   N00002004    77
58   N00002005    73
59   N00002006    81
60   N00002007    83
61   N00002008    83
62   N00002009    82
63   N00002010    88
64   N00002011    81
65   N00002012    78
66   N00002013    70
67   N00002014    68
68   N00002015    90
69   N00002016    64
70   N00002017    77
71   N00002018    73
72   N00002019    59
73   N00002020    69
74   N00002021    72
75   N00002022    92
76   N00002024    90
77   N00002025    83
78   N00002026    76
79   N00002027    88
80   N00002028    91
81   N00002029    69
82   N00002030    87
83   N00002031    79
84   N00002032    47
85   N00002033    69
86   N00002035    66
87   N00002036    72
88   N00002037    73
89   N00002038    87
90   N00002039    80
91   N00002040    68
92   N00002041    68
93   N00002042    77
94   N00002043    77
95   N00002044    77
96   N00002045    70
97   N00002046    60
98   N00002047    64
99   N00002048    87
100  N00002049    77
101  N00002050    72
102  N00002051    86
103  N00002052    87
104  N00002053    88
105  N00002054    91
106  N00002055    72
107  N00002056    88
108  N00002057    91
109  N00002058    80
110  N00002059    72
111  N00002060    70
112  N00002061    72
113  N00002062    82
114  N00002063    59
115  N00002064    82
116  N00002065    59
117  N00002066    72
118  N00002067    72
119  N00002068    65
120  N00002069    79
121  N00002070    73
122  N00002071    77
123  N00002072    77
124  N00002073    73
125  N00002074    76
126  N00002075    68
127  N00002076    92
128  N00002077    80
129  N00002078    85
130  N00002079    91
131  N00002080    76
132  N00002081    68
133  N00002082    82
134  N00002083    74
135  N00002084    71
136  N00002085    78
137  N00002086    74
138  N00002087    58
139  N00002088    66
140  N00002089    82
141  N00002090    76
142  N00002091    79
143  N00002092    82
144  N00002093    78
145  N00002094    74
146  N00002095    79
147  N00002096    68
148  N00002097    91
149  N00002098    64
150  N00002099    87
151  N00002100    69
152  N00002101    68
153  N00002102    82
154  N00002103    82
155  N00002104    63
156  N00002105    56
157  N00002106    90
158  N00002107    88
159  N00002108    96
160  N00002109    82
161  N00002110    73
162  N00002111    77
163  N00002112    81
164  N00002113    73
165  N00002114    85
166  N00002115    70
167  N00002116    78
168  N00002117    71
169  N00002118    73
170  N00002119    73
171  N00002120    72
172  N00002121    77
173  N00002122    78
174  N00002123    64
175  N00002124    71
176  N00002125    47
177  N00002126    70
178  N00002127    85
179  N00002128    92
180  N00002129    64
181  N00002130    58
182  N00002131    65
183  N00002132    72
184  N00002133    95
185  N00002134    88
186  N00002135    58
187  N00002136    79
188  N00002137    82
189  N00002138    61
190  N00002139    68
191  N00002140    72
192  N00002141    68
