This is grade of class8
        StdID  Mark
0   N00002142    87
1   N00002143    59
2   N00002144    87
3   N00002145    86
4   N00002146    68
5   N00002147    87
6   N00002148    70
7   N00002149    73
8   N00002150    82
9   N00002151    72
10  N00002152    71
11  N00002153    82
12  N00002154    72
13  N00002155    84
14  N00002156    69
15  N00002157    71
16  N00002158    74
17  N00002159    78
18  N00002160    69
19  N00002161    77
20  N00002162    78
21  N00002163    73
22  N00002164    65
23  N00002165    90
24  N00002166    81
25  N00002167    74
26  N00002168    63
27  N00002169    72
28  N00002170    71
29  N00002171    82
30  N00002172    82
31  N00002173    68
32  N00002174    92
33  N00002175    83
34  N00002176    80
35  N00002177    90
36  N00002178    78
37  N00002179    77
38  N00002180    84
39  N00002181    87
40  N00002182    62
41  N00002183    86
42  N00002184    77
43  N00002185    64
44  N00002186    76
45  N00002187    78
46  N00002188    74
47  N00002189    78
48  N00002190    74
